Country Name,currency_dep
Ukraine,4.275978593584565
Libya,3.376922973714786
Algeria,0.6668981906956797
Hong Kong,0.012568028727133761
Fiji,0.2717818953861114
Gambian Dalasi,1.5853660352027303
Kenya,0.5298114510723019
Thailand,0.05689992725504526
"Korea, Rep.",0.30897886029411764
Canada,0.38316534076372516
Jordan,0.0005653006959996321
Jamaica,0.7477382668780927
Kazakhstan,1.9896073765416833
Colombia,1.271726862302483
Nigeria,8.937239891771359
Malaysia,0.38947092837279473
Denmark,0.13530639095873911
Tunisia,0.8571060193796574
Ugandan Shilling,0.35090038667658874
Tanzanian Shilling,0.6525695503946791
New Taiwan Dollar,0.012818736551779134
New Zealand,0.39010032122559923
Trinidad And Tobago Dollar,0.06707437493538199
Iceland,-0.04996886106437767
Turkiye,21.655740999658658
Belarus,2.820495109015196
Saudi Arabian Riyal,0.0010942896242356844
Argentina,260.59358470455646
Papua New Guinean Kina,1.0593721841694321
Sudanese Pound,136.0556091705819
Croatia,0.23449367752796238
Burundi Franc,0.9325883185439519
Brazil,1.7274590847688693
Singapore,0.05259271166118195
Cayman Islands Dollar,0.013634644890491373
Nepal,0.5915171007085526
Cuban Peso,23.57631500403753
Hungary,0.5639282581461704
Rwandan Franc,1.366363387897434
Sri Lanka,1.3630732767587774
Australia,0.5968719446289127
Malagasy Ariary,0.9838311916308763
Guinean Franc,0.24880952464834633
West African Cfa Franc,0.13431388075430006
Bahrain,0.00600404484527947
Saint Helena Pound,-0.5406622724164784
Pound Sterling,0.20966067545932787
Syrian Pound,185.07580864660366
Aruba,0.0026883012660020764
Qatar,0.0004947667115976004
Brunei Dollar,0.06915785915743355
Albania,-0.192555583701142
Djiboutian Franc,0.0004895656911814125
Guatemalan Quetzal,-0.008182690560426373
Omani Rial,0.002969828738737223
Namibian Dollar,1.0947914444339701
Israeli New Shekel,-0.09765216408312019
Peru,0.4320089463714796
Bulgaria,0.13318932196992161
Bahamian Dollar,0.006370337596700653
Bangladesh,0.5502283211692475
Chinese Yuan Renminbi,0.15191158468803656
Haitian Gourde,2.1685470792713786
Chile,1.0086185408547697
Lao Kip,1.7566887530411694
Comorian Franc,0.1353598045036145
South Africa,1.1089092877230422
Lesotho Loti,1.1356131877473543
Sweden,0.4898465252193086
Ethiopian Birr,6.557623634720762
Afghanistan,0.37340377035650885
Turkmen Manat,0.18081177441739732
Morocco,0.07379658034738693
United Arab Emirates,0.00019062578237080298
European Euro,0.13623764934701244
Malawian Kwacha,4.364860568846534
Ghana,4.463158023522503
"Egypt, Arab Rep.",6.784138229907076
Macedonian Denar,0.12358352126368652
Bermudian Dollar,0.0
Cabo Verdean Escudo,0.15989504387912715
Sierra Leonean Leone,4.294414765424165
Switzerland,-0.1243494550013613
Cfp Franc,0.13021511924468418
Nicaraguan Cordoba,0.5445469914253771
Mauritian Rupee,0.5425169749164838
Congolese Franc,2.1834883072051494
Indonesia,0.6959100842959726
Moldovan Leu,0.41670181696678094
Mexico,0.4530093552536321
Viet Nam,0.2753708040593286
Romania,0.29709803780343835
Russian Federation,1.5695035709790115
Lebanese Pound,58.587217043941415
Costa Rica,0.0026423928665290346
Barbadian Dollar,0.02035607578428878
Philippines,0.3923834090815271
Yemeni Rial,0.12441013428803475
Bolivia,0.0013137208555813265
Dominican Republic,0.5366557576582319
Maldivian Rufiyaa,0.013140591705401997
Czech Republic,0.11612456048841636
Cambodian Riel,0.020809396144516788
Japan,0.7152789532527156
Uzbekistani Som,5.4346045559252625
India,0.5661084129290304
Pakistan,1.9739105619313866
Poland,0.1819477998149368
Myanmar Kyat,1.4967264669068225
Serbia,0.18228389984818566
Kuwait,0.08811069173628187
"Iran, Islamic Rep.",2.478837074463679
East Caribbean Dollar,0.0043895732270179105
Zambian Kwacha,3.4129264741975627
Honduran Lempira,0.3440120113710518
Central African Cfa Franc,0.1343367280987277
Seychellois Rupee,0.16347927995817466
Iraqi Dinar,0.14925373134328357
Belize,0.020510201152291452
Uruguay,1.1632719453207645
Swazi Lilangeni,1.0919182998561623
Paraguayan Guarani,0.83126080132204
Macanese Pataca,0.03300104454399003
Mozambican Metical,1.146929145977025
Norway,0.8315238459852977
Botswana,0.750045802958603
Liberian Dollar,1.8026315789473684
Somali Shilling,-0.6385848760348617
